Ozone_mean,Ozone_max,Ozone_95,PM25_mean,PM25_first_max,PM25_95
0.042561999999999,0.075,0.06100000000000001,8.968696000000003,20.2,16.6
0.041349,0.079,0.058,9.395614,24.9,16.1
0.043243,0.075,0.063,8.724779,22.0,14.5
0.046298,0.079,0.063,7.421875,14.0,11.9
0.042515,0.07200000000000001,0.06100000000000001,8.115909,20.5,13.7
0.053172,0.12,0.08800000000000001,11.882143,24.5,20.9
0.029932999999999,0.053000000000000005,0.047,6.250580999999999,184.0,20.0
0.029,0.054000000000000006,0.047,5.291682,195.0,16.0
0.029793999999999,0.052000000000000005,0.047,6.749307000000001,73.0,25.0
0.028464,0.049,0.043,1.764865,33.7,3.5
0.035886999999999,0.068,0.054000000000000006,1.617757,16.8,4.5
0.036668,0.069,0.053000000000000005,2.48972,40.5,8.5
0.038582,0.065,0.053000000000000005,2.0288459999999997,5.9,4.8
0.021081,0.041,0.037000000000000005,10.782645,42.6,35.0
0.032185000000000005,0.055,0.05,16.815625,171.3,99.3
0.029744999999999,0.053000000000000005,0.048,28.853061,121.6,86.5
0.027246,0.062,0.043,33.798305,155.8,132.9
0.028128999999999,0.062,0.047,23.086667,145.1,83.2
0.026792999999999,0.046,0.038,13.864348,111.2,47.4
0.026463999999999,0.052000000000000005,0.047,15.307407,110.5,70.2
0.0274,0.053000000000000005,0.048,7.079528,129.0,27.0
0.034392,0.055,0.049,8.347273,296.0,32.8
0.028048000000000003,0.056,0.042,8.047495,219.0,34.0
0.030556,0.051,0.046,14.557143,141.0,58.5
0.030822,0.102,0.044000000000000004,5.795577,87.0,27.0
0.029585000000000007,0.047,0.043,5.695977,177.0,25.0
0.053507000000000006,0.08199999999999999,0.069,9.254286,23.0,17.5
0.052419000000000014,0.078,0.07,8.810526,48.0,17.7
0.050739,0.07300000000000001,0.065,7.2,24.4,11.8
0.054154,0.081,0.068,7.383636,15.0,11.8
0.055226,0.08,0.07,6.546296,13.3,11.1
0.052643999999999004,0.08,0.068,7.155171999999999,22.7,15.7
0.053031999999999004,0.077,0.069,7.3816669999999975,17.2,13.5
0.052794000000000015,0.081,0.07,6.742373,15.7,10.5
0.051726999999999,0.075,0.067,6.36,16.9,10.3
0.052862,0.079,0.068,6.911111,13.8,11.8
0.051577,0.08600000000000001,0.063,7.5949149999999985,17.2,13.0
0.051870000000000006,0.077,0.065,6.776271,14.1,13.4
0.055393,0.08900000000000001,0.07300000000000001,6.478689,14.8,10.4
0.055338,0.085,0.07200000000000001,6.719672,13.1,11.1
0.05269000000000002,0.081,0.07,7.248276,65.0,17.0
0.051065,0.08600000000000001,0.066,7.27028,127.0,17.0
0.050105,0.07100000000000001,0.066,5.283632,75.0,13.0
0.050141000000000005,0.07300000000000001,0.064,3.900700999999999,368.0,11.0
0.050969,0.081,0.066,5.7465150000000005,105.0,14.0
0.055970000000000006,0.08700000000000001,0.07400000000000001,8.111111,36.5,24.0
0.053479,0.08199999999999999,0.069,6.8285709999999975,26.3,17.0
0.052695000000000006,0.07400000000000001,0.068,6.928301999999999,21.9,13.9
0.056955,0.08700000000000001,0.077,7.078946999999999,12.0,12.0
0.054807999999999,0.08199999999999999,0.07200000000000001,5.8840910000000015,16.9,12.0
0.053278,0.08199999999999999,0.068,6.816071000000001,22.2,12.7
0.0541,0.093,0.07100000000000001,6.0454550000000005,18.9,10.6
0.055645999999999,0.081,0.07100000000000001,6.734545,28.2,12.6
0.055146,0.08,0.069,7.968966,47.5,16.7
0.05909800000000001,0.084,0.07400000000000001,5.928814,13.5,9.6
0.055664,0.08,0.068,7.3883329999999985,24.8,16.4
0.054304,0.08800000000000001,0.068,5.075,11.7,9.6
0.056981,0.08199999999999999,0.07100000000000001,5.167212999999999,15.1,11.2
0.057182,0.084,0.07300000000000001,5.403333,14.1,11.9
0.055718,0.081,0.069,5.426667,11.1,9.6
0.06263400000000001,0.096,0.08199999999999999,10.333333,28.7,25.8
0.065927,0.111,0.091,11.582222,22.4,21.1
0.068602,0.112,0.09,9.074468,25.8,20.8
0.061778,0.097,0.081,9.480357,27.6,19.2
0.065792999999999,0.113,0.08900000000000001,8.485455,32.2,21.3
0.063266,0.099,0.08900000000000001,9.105085,25.2,20.7
0.065148,0.094,0.084,9.384746,26.8,19.3
0.054703999999999,0.08700000000000001,0.07,2.030773,54.0,7.0
0.051661,0.078,0.068,1.049912999999999,73.0,7.0
0.050105,0.077,0.065,2.3847389999999997,91.0,10.0
0.050169,0.076,0.066,5.619733,65.0,11.0
0.071469999999999,0.124,0.095,12.664505,44.9,28.0
0.073287999999999,0.117,0.098,13.256129,75.4,31.0
0.070176,0.116,0.092,10.853571,63.4,25.6
0.071187,0.124,0.091,13.516456,81.10000000000002,30.2
0.069449,0.122,0.091,11.271053,48.4,23.1
0.065433999999999,0.11,0.083,11.62,38.0,28.3
0.068276999999999,0.129,0.093,12.97563,56.7,30.2
0.066986,0.122,0.091,13.507438,76.7,25.6
0.068513999999999,0.1,0.08700000000000001,12.244067999999999,34.300000000000004,25.2
0.067052,0.10400000000000001,0.08700000000000001,10.883621,29.1,21.4
0.06001899999999901,0.094,0.079,11.101695,81.2,25.4
0.062251999999999,0.112,0.08199999999999999,10.348007,393.9,29.7
0.06434000000000001,0.10400000000000001,0.083,12.417575,996.9,29.2
0.065005,0.10400000000000001,0.083,12.21746,537.0,26.4
0.063694,0.106,0.085,10.63648,787.0,27.1
0.06331099999999901,0.102,0.084,11.128561,1167.0,28.1
0.061220000000000004,0.113,0.083,12.58,205.4,36.5
0.061390000000000014,0.1,0.085,13.612554,523.9,31.1
0.058518,0.108,0.083,10.291747,396.3,28.6
0.055194999999999,0.095,0.075,9.286742,56.2,17.5
0.054090000000000006,0.094,0.078,7.670114999999999,13.6,11.7
0.051551,0.08900000000000001,0.07400000000000001,8.452577,20.9,18.9
0.052634,0.094,0.07400000000000001,6.5823009999999975,27.6,12.4
0.056167999999999,0.098,0.08199999999999999,6.571817999999999,18.8,12.0
0.053854,0.085,0.07400000000000001,5.765896,16.5,10.0
0.055188999999999,0.101,0.079,6.322393,16.1,10.6
0.055005,0.08800000000000001,0.075,5.8094959999999976,18.5,9.8
0.054615,0.08800000000000001,0.075,5.710526,20.7,11.3
0.054917999999999,0.09,0.07400000000000001,5.700862,18.3,10.4
0.052219999999999,0.084,0.067,5.464462999999999,15.8,10.2
0.054074,0.08199999999999999,0.07200000000000001,5.145299,15.7,9.8
0.055015999999999,0.098,0.076,5.810599,70.0,14.0
0.054106999999999,0.081,0.07300000000000001,5.9107439999999976,66.0,12.0
0.052414999999999004,0.08700000000000001,0.069,6.857724999999999,172.0,16.0
0.051688,0.08199999999999999,0.069,6.283333,70.0,13.4
0.050331999999999,0.078,0.067,5.148275,53.0,11.0
0.052249,0.08,0.069,6.350909,70.0,12.2
0.053328999999999,0.083,0.07100000000000001,8.142775,128.0,18.0
