,asthma_death_per_100k,asthma_deaths_per_100k,county_name,fips,observed,state_name,year
205,1.8974474030000001,,Taney,29213,1,Missouri,1996
206,1.8974474030000001,,Cascade,30013,1,Montana,1996
207,1.8974474030000001,,Flathead,30029,1,Montana,1996
208,1.8974474030000001,,Missoula,30063,1,Montana,1996
209,1.494273727,,Rosebud,30087,1,Montana,1996
210,1.8974474030000001,,Yellowstone,30111,1,Montana,1996
211,1.849457527,,Douglas,31055,1,Nebraska,1996
212,1.849457527,,Lancaster,31109,1,Nebraska,1996
213,2.3071614119999997,,Clark,32003,1,Nevada,1996
214,1.849457527,,Douglas,32005,1,Nevada,1996
215,1.8974474030000001,,Washoe,32031,1,Nevada,1996
216,1.494273727,,White Pine,32033,1,Nevada,1996
217,1.494273727,,Belknap,33001,1,New Hampshire,1996
218,1.494273727,,Carroll,33003,1,New Hampshire,1996
219,1.494273727,,Cheshire,33005,1,New Hampshire,1996
220,1.494273727,,Coos,33007,1,New Hampshire,1996
221,1.494273727,,Grafton,33009,1,New Hampshire,1996
222,1.8974474030000001,,Hillsborough,33011,1,New Hampshire,1996
223,1.494273727,,Merrimack,33013,1,New Hampshire,1996
224,1.494273727,,Rockingham,33015,1,New Hampshire,1996
225,1.494273727,,Strafford,33017,1,New Hampshire,1996
226,1.494273727,,Sullivan,33019,1,New Hampshire,1996
227,1.8974474030000001,,Atlantic,34001,1,New Jersey,1996
228,2.8048175360000003,,Bergen,34003,1,New Jersey,1996
229,1.8974474030000001,,Burlington,34005,1,New Jersey,1996
230,2.355547799,,Camden,34007,1,New Jersey,1996
231,1.494273727,,Cumberland,34011,1,New Jersey,1996
232,3.2166237669999997,,Essex,34013,1,New Jersey,1996
233,1.494273727,,Gloucester,34015,1,New Jersey,1996
234,2.3071614119999997,,Hudson,34017,1,New Jersey,1996
235,1.494273727,,Hunterdon,34019,1,New Jersey,1996
236,1.5215452919999999,,Mercer,34021,1,New Jersey,1996
237,1.996041459,,Middlesex,34023,1,New Jersey,1996
238,1.8974474030000001,,Monmouth,34025,1,New Jersey,1996
239,1.8974474030000001,,Morris,34027,1,New Jersey,1996
240,1.8974474030000001,,Ocean,34029,1,New Jersey,1996
241,3.2166237669999997,,Union,34039,1,New Jersey,1996
242,1.996041459,,Bernalillo,35001,1,New Mexico,1996
243,1.849457527,,Dona Ana,35013,1,New Mexico,1996
244,1.494273727,,Eddy,35015,1,New Mexico,1996
245,1.494273727,,Sandoval,35043,1,New Mexico,1996
246,1.849457527,,San Juan,35045,1,New Mexico,1996
247,1.494273727,,Santa Fe,35049,1,New Mexico,1996
248,1.494273727,,Valencia,35061,1,New Mexico,1996
249,1.494273727,,Albany,36001,1,New York,1996
250,3.2166237669999997,,Bronx,36005,1,New York,1996
251,1.494273727,,Chautauqua,36013,1,New York,1996
252,1.494273727,,Chemung,36015,1,New York,1996
253,1.494273727,,Dutchess,36027,1,New York,1996
254,1.849457527,,Erie,36029,1,New York,1996
255,1.494273727,,Essex,36031,1,New York,1996
256,1.494273727,,Hamilton,36041,1,New York,1996
257,1.494273727,,Herkimer,36043,1,New York,1996
258,1.494273727,,Jefferson,36045,1,New York,1996
259,3.2166237669999997,,Kings,36047,1,New York,1996
260,1.494273727,,Madison,36053,1,New York,1996
261,1.642210039,,Monroe,36055,1,New York,1996
262,2.3071614119999997,,Nassau,36059,1,New York,1996
263,3.2166237669999997,,New York,36061,1,New York,1996
264,1.494273727,,Niagara,36063,1,New York,1996
265,1.494273727,,Oneida,36065,1,New York,1996
266,1.849457527,,Onondaga,36067,1,New York,1996
267,1.494273727,,Orange,36071,1,New York,1996
268,1.494273727,,Putnam,36079,1,New York,1996
269,1.494273727,,Queens,36081,1,New York,1996
270,1.494273727,,Richmond,36085,1,New York,1996
271,1.494273727,,Saratoga,36091,1,New York,1996
272,1.494273727,,Schenectady,36093,1,New York,1996
273,1.494273727,,Suffolk,36103,1,New York,1996
274,1.494273727,,Ulster,36111,1,New York,1996
275,1.494273727,,Wayne,36117,1,New York,1996
276,1.494273727,,Westchester,36119,1,New York,1996
277,1.494273727,,Alexander,37003,1,North Carolina,1996
278,1.494273727,,Buncombe,37021,1,North Carolina,1996
279,1.494273727,,Caswell,37033,1,North Carolina,1996
280,1.494273727,,Chatham,37037,1,North Carolina,1996
281,1.8974474030000001,,Cumberland,37051,1,North Carolina,1996
282,1.494273727,,Davie,37059,1,North Carolina,1996
283,1.494273727,,Duplin,37061,1,North Carolina,1996
284,1.8974474030000001,,Durham,37063,1,North Carolina,1996
285,1.494273727,,Edgecombe,37065,1,North Carolina,1996
286,1.849457527,,Forsyth,37067,1,North Carolina,1996
287,1.494273727,,Franklin,37069,1,North Carolina,1996
288,1.8974474030000001,,Gaston,37071,1,North Carolina,1996
289,1.494273727,,Granville,37077,1,North Carolina,1996
290,1.8974474030000001,,Guilford,37081,1,North Carolina,1996
291,1.494273727,,Haywood,37087,1,North Carolina,1996
292,1.494273727,,Johnston,37101,1,North Carolina,1996
293,1.494273727,,Lincoln,37109,1,North Carolina,1996
294,1.8974474030000001,,Mecklenburg,37119,1,North Carolina,1996
295,1.494273727,,New Hanover,37129,1,North Carolina,1996
296,1.8974474030000001,,Orange,37135,1,North Carolina,1996
297,1.494273727,,Pitt,37147,1,North Carolina,1996
298,1.494273727,,Rockingham,37157,1,North Carolina,1996
299,1.494273727,,Rowan,37159,1,North Carolina,1996
300,1.494273727,,Swain,37173,1,North Carolina,1996
301,1.8974474030000001,,Wake,37183,1,North Carolina,1996
302,1.494273727,,Yancey,37199,1,North Carolina,1996
303,1.494273727,,Cass,38017,1,North Dakota,1996
304,1.494273727,,McKenzie,38053,1,North Dakota,1996
305,1.494273727,,Mercer,38057,1,North Dakota,1996
306,1.494273727,,Oliver,38065,1,North Dakota,1996
307,1.494273727,,Steele,38091,1,North Dakota,1996
308,1.494273727,,Allen,39003,1,Ohio,1996
309,1.494273727,,Ashtabula,39007,1,Ohio,1996
310,1.494273727,,Butler,39017,1,Ohio,1996
311,1.494273727,,Clark,39023,1,Ohio,1996
312,1.494273727,,Clermont,39025,1,Ohio,1996
313,1.494273727,,Clinton,39027,1,Ohio,1996
314,1.5215452919999999,,Columbiana,39029,1,Ohio,1996
315,2.3071614119999997,,Cuyahoga,39035,1,Ohio,1996
316,1.849457527,,Franklin,39049,1,Ohio,1996
317,2.3071614119999997,,Hamilton,39061,1,Ohio,1996
318,1.996041459,,Jefferson,39081,1,Ohio,1996
319,1.494273727,,Knox,39083,1,Ohio,1996
320,1.849457527,,Lake,39085,1,Ohio,1996
321,1.494273727,,Lawrence,39087,1,Ohio,1996
322,1.494273727,,Licking,39089,1,Ohio,1996
323,1.494273727,,Logan,39091,1,Ohio,1996
324,1.494273727,,Lorain,39093,1,Ohio,1996
325,1.494273727,,Lucas,39095,1,Ohio,1996
326,1.494273727,,Madison,39097,1,Ohio,1996
327,1.494273727,,Mahoning,39099,1,Ohio,1996
328,1.494273727,,Medina,39103,1,Ohio,1996
329,1.494273727,,Miami,39109,1,Ohio,1996
330,1.675760589,,Montgomery,39113,1,Ohio,1996
331,1.494273727,,Portage,39133,1,Ohio,1996
332,1.494273727,,Preble,39135,1,Ohio,1996
333,1.642210039,,Stark,39151,1,Ohio,1996
334,1.849457527,,Summit,39153,1,Ohio,1996
335,1.494273727,,Trumbull,39155,1,Ohio,1996
336,1.494273727,,Warren,39165,1,Ohio,1996
337,1.494273727,,Washington,39167,1,Ohio,1996
338,1.849457527,,Cleveland,40027,1,Oklahoma,1996
339,1.494273727,,Comanche,40031,1,Oklahoma,1996
